"시도별","품목별","항목","단위","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월",
"전국","자동차학원비","소비자물가지수[2020=100]","2020=100","87.932","90.32","91.389","91.619","91.68","91.71","92.381","92.381","92.489","92.496","93.233","93.529","95.264","95.778","96.781","96.89","97.53","97.627","97.929","98.014","98.086","97.972","98.516","98.624","99.18","99.87","99.99","100.04","100.04","100.08","100.17","100.17","100.17","100.17","100.1","100.02","100.08","100.12","100","100.26","100.26","100.57","100.94","100.87","100.99","100.95","101.82","102.83","103.06","103.22","104.19","104.81","105.6","105.74","106.09","106.13","106.48","106.57","108.51","108.92","109.41","109.44","109.66","109.83","109.57",
"전국","주차료","소비자물가지수[2020=100]","2020=100","100.031","99.782","99.782","100.137","100.137","100.137","100.194","100.194","100.262","100.262","100.262","100.262","100.262","101.193","101.365","101.365","101.749","101.749","101.749","101.749","101.749","101.749","101.749","101.749","104.45","101.42","98.95","97.81","97.98","99.14","99.94","100.07","100.08","100.04","100.04","100.08","99.66","99.75","99.98","100.64","100.64","100.64","100.72","100.72","100.85","100.85","100.85","100.85","105.3","105.3","105.32","105.32","105.32","105.42","105.42","105.42","105.42","105.42","105.6","105.84","105.84","105.84","105.93","105.93","105.83",
"전국","승용차임차료","소비자물가지수[2020=100]","2020=100","109.524","109.524","109.524","109.524","109.524","109.524","111.157","112.537","109.524","109.524","109.524","109.524","109.524","109.524","109.524","109.524","109.524","109.524","111.235","111.786","110.043","110.043","110.043","110.043","108.26","108.26","86.02","86.02","99","99","99.57","103.93","102.48","102.48","102.48","102.48","102.48","102.48","94.4","94.4","94.4","94.4","97.21","98.77","93.18","100.2","100.92","104.93","96.07","95.4","90.83","96.01","100.36","121.72","121.22","107.51","97.76","109.09","105.88","94.85","102","91.59","90.36","94.88","104.07",
"전국","대리운전이용료","소비자물가지수[2020=100]","2020=100","94.472","94.472","94.869","94.472","94.472","95.089","95.089","95.397","95.397","95.441","95.776","97.529","97.3","97.054","97.071","97.071","97.071","97.415","97.556","97.644","98.763","99.203","99.203","99.882","99.63","99.63","99.51","99.51","99.73","99.18","99.25","99.42","99.61","100.87","101.71","101.96","102.13","102.42","103.86","103.81","104.6","105.29","106","106.93","107.27","108.88","109.71","112.06","113.84","115.02","116.4","117.38","118.43","118.5","119.76","120.58","121.37","122.84","124.15","125.06","125.45","126.23","127.48","128.34","128.45",
"전국","자동차검사료","소비자물가지수[2020=100]","2020=100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100",
"전국","국내항공료","소비자물가지수[2020=100]","2020=100","94.639","101.933","95.783","95.086","100.919","96.221","103.737","109.543","101.477","101.579","97.384","100.37","95.783","103.244","95.337","95.086","97.886","98.853","104.649","115.636","104.696","103.514","99.393","98.379","103.43","107.57","100.31","97.43","98.24","94.41","100.09","111.27","95.99","99.39","94.41","97.47","95.75","109.66","96.29","96.64","102.72","96.64","103.89","114.97","105.4","97.76","99.99","103.79","104.31","109.46","104.11","105.11","113.22","115.46","120.79","132.22","117.5","114.34","110.05","111.58","116.15","116.31","107.47","105.59","107.53",
"전국","여객선료","소비자물가지수[2020=100]","2020=100","93.708","94.071","93.885","93.764","93.885","94.332","95.346","96.509","95.253","95.076","94.778","95.635","94.909","95.42","94.63","94.369","94.89","95.681","96.351","97.291","95.281","95.458","95.337","96.584","96.7","100.05","99.94","100.17","100.29","99.81","100.8","101.84","99.99","100.46","99.99","99.94","100.29","100.3","99.94","99.81","100.46","99.81","100.98","101.67","100.35","100.11","99.81","99.76","100.29","100.3","107.21","106.97","109.74","109.81","113.65","117.95","116.02","115.46","106.44","106.57","109.99","106.29","114.57","115","112.43",
"전국","이삿짐운송료","소비자물가지수[2020=100]","2020=100","94.541","96.572","95.719","95.974","95.693","95.464","95.35","95.377","95.693","96.08","96.423","97.082","98.04","98.867","98.216","98.146","98.102","98.031","97.917","97.715","97.566","97.671","98.207","98.286","98.71","100.13","99.4","99.29","99.24","99.27","99.6","99.63","100.06","101.4","101.3","101.95","102.67","104.08","104.39","104.71","104.94","105.1","105.72","106.37","107.4","107.89","108.29","108.96","111","112.35","111.87","112.22","112.54","113.23","113.47","113.45","113.66","113.71","113.42","113.49","113.68","114.83","115.11","116.49","116.62",
"전국","택배이용료","소비자물가지수[2020=100]","2020=100","97.125","97.125","97.105","97.115","97.115","97.115","97.115","97.134","97.134","97.183","97.183","97.183","97.261","97.466","98.557","98.557","98.557","98.586","98.527","99.258","99.161","99.161","99.161","99.161","99.36","99.71","99.71","99.49","99.49","99.42","99.42","99.42","100.93","100.93","101.11","101.04","101.04","100.92","102.63","103.46","104.94","105.66","105.95","106.16","107.08","107.29","107.33","107.5","108.15","108.21","108.3","109.08","109.13","110.62","110.9","110.9","111.15","111.1","111.1","111.19","111.46","111.6","111.97","112.22","112.22",
"전국","휴대전화기수리비","소비자물가지수[2020=100]","2020=100","94.781","94.781","94.781","94.781","94.781","94.781","94.781","94.781","94.781","94.781","94.781","94.781","94.781","94.781","94.781","94.781","94.781","94.781","97.396","97.396","99.621","99.621","99.621","99.621","100.45","100.45","101.09","101.09","101.09","101.09","101.09","101.09","101.09","101.09","95.19","95.19","95.19","96.28","96.28","96.28","93.63","93.63","93.63","93.63","93.63","93.63","93.63","93.63","93.63","93.63","93.63","93.63","93.88","93.88","93.88","93.88","96.63","96.63","96.63","96.63","96.63","97","97.45","99.73","99.73",
